Iasi,IasiSPD,AurelVlaicu,AurelVlaicuSPD,Constanta,ConstantaSPD,TarguSecuiesc,TarguSecuiescSPD,RamnicuValcea,RamnicuValceaSPD
,,,,350,34,360,16,,
,,,,340,31,360,20,,
,,,,340,31,340,18,,
,,,,340,31,340,16,,
,,,,50,31,320,16,,
,,,,40,31,50,16,,
,,,,30,31,50,20,,
,,,,10,31,50,18,,
,,,,30,31,50,16,,
,,,,30,31,50,18,,
,,,,10,31,20,18,,
,,,,20,31,20,16,,
,,,,10,31,290,18,,
,,,,20,31,270,16,,
,,,,10,31,270,20,,
,,,,30,31,290,20,,
,,,,40,31,290,20,,
,,,,30,31,270,20,,
,,,,10,31,270,16,,
,,,,40,31,270,20,,
,,,,30,31,270,22,,
,,,,,,290,31,,
,,,,,,290,22,,
,,,,,,290,22,,
,,,,,,50,16,,
,,,,,,160,18,,
,,,,,,50,16,,
,,,,,,50,18,,
,,,,,,50,18,,
,,,,,,70,18,,
,,,,,,70,18,,
,,,,,,70,20,,
,,,,,,70,18,,
,,,,,,70,16,,
,,,,,,100,22,,
,,,,,,20,16,,
,,,,,,50,18,,
,,,,,,50,16,,
,,,,,,360,27,,
,,,,,,70,22,,
,,,,,,70,16,,
,,,,,,360,16,,
,,,,,,320,18,,
,,,,,,200,20,,
,,,,,,180,16,,
,,,,,,140,18,,
,,,,,,50,20,,
,,,,,,70,16,,
,,,,,,50,18,,
,,,,,,50,16,,
,,,,,,250,16,,
,,,,,,50,16,,
,,,,,,50,16,,
,,,,,,360,31,,
,,,,,,90,16,,
,,,,,,50,18,,
,,,,,,50,18,,
,,,,,,50,16,,
,,,,,,50,18,,
,,,,,,50,16,,
,,,,,,180,16,,
,,,,,,320,16,,
,,,,,,250,16,,
,,,,,,230,16,,
,,,,,,50,18,,
,,,,,,180,18,,
,,,,,,50,16,,
,,,,,,50,18,,
,,,,,,50,20,,
,,,,,,50,18,,
,,,,,,50,31,,
,,,,,,50,18,,
,,,,,,20,16,,
,,,,,,230,18,,
,,,,,,50,20,,
,,,,,,50,20,,
,,,,,,50,18,,
,,,,,,70,40,,
,,,,,,50,16,,
,,,,,,250,18,,
,,,,,,230,16,,
,,,,,,180,16,,
,,,,,,160,18,,
,,,,,,270,16,,
,,,,,,50,16,,
,,,,,,50,16,,
,,,,,,50,16,,
,,,,,,270,18,,
,,,,,,270,16,,
,,,,,,270,16,,
,,,,,,230,18,,
,,,,,,270,16,,
,,,,,,50,18,,
,,,,,,50,16,,
,,,,,,50,18,,
,,,,,,70,18,,
,,,,,,70,16,,
,,,,,,70,18,,
,,,,,,230,29,,
,,,,,,50,16,,
,,,,,,50,18,,
,,,,,,50,16,,
,,,,,,50,18,,
,,,,,,50,16,,
,,,,,,50,16,,
,,,,,,50,18,,
,,,,,,50,16,,
,,,,,,50,16,,
,,,,,,40,20,,
,,,,,,170,16,,
,,,,,,180,16,,
,,,,,,210,22,,
,,,,,,50,16,,
,,,,,,60,16,,
,,,,,,50,16,,
,,,,,,60,16,,
,,,,,,70,16,,
,,,,,,190,16,,
,,,,,,180,18,,
,,,,,,180,16,,
,,,,,,300,16,,
,,,,,,280,22,,
,,,,,,280,16,,
,,,,,,270,20,,
,,,,,,290,16,,
,,,,,,40,18,,
,,,,,,50,18,,
,,,,,,40,20,,
,,,,,,40,18,,
,,,,,,50,16,,
,,,,,,180,18,,
,,,,,,70,16,,
,,,,,,290,16,,
,,,,,,280,20,,
,,,,,,300,18,,
,,,,,,50,16,,
,,,,,,30,16,,
,,,,,,50,16,,
,,,,,,170,18,,
,,,,,,40,16,,
,,,,,,40,16,,
,,,,,,50,16,,
,,,,,,70,18,,
,,,,,,70,18,,
,,,,,,70,20,,
,,,,,,70,18,,
,,,,,,80,16,,
,,,,,,70,16,,
,,,,,,70,18,,
,,,,,,70,18,,
,,,,,,70,18,,
,,,,,,70,18,,
,,,,,,60,18,,
,,,,,,70,18,,
,,,,,,60,20,,
,,,,,,70,16,,
,,,,,,70,16,,
,,,,,,50,20,,
,,,,,,60,16,,
,,,,,,40,18,,
,,,,,,50,16,,
,,,,,,60,16,,
,,,,,,70,16,,
,,,,,,60,16,,
,,,,,,50,16,,
,,,,,,70,18,,
,,,,,,60,16,,
,,,,,,40,18,,
,,,,,,40,16,,
,,,,,,70,18,,
,,,,,,50,18,,
,,,,,,50,16,,
,,,,,,60,16,,
,,,,,,60,16,,
,,,,,,60,16,,
,,,,,,60,18,,
,,,,,,60,20,,
,,,,,,60,22,,
,,,,,,40,22,,
,,,,,,50,16,,
,,,,,,50,18,,
,,,,,,50,16,,
,,,,,,50,16,,
,,,,,,50,16,,
,,,,,,50,16,,
,,,,,,70,16,,
,,,,,,80,16,,
,,,,,,80,18,,
,,,,,,60,16,,
,,,,,,70,16,,
,,,,,,210,16,,
,,,,,,270,18,,
,,,,,,220,16,,
,,,,,,290,20,,
,,,,,,280,20,,
,,,,,,270,20,,
,,,,,,290,16,,
,,,,,,200,20,,
,,,,,,220,27,,
,,,,,,280,20,,
,,,,,,290,20,,
,,,,,,260,16,,
,,,,,,290,16,,
,,,,,,40,18,,
,,,,,,40,20,,
,,,,,,50,18,,
,,,,,,40,16,,
,,,,,,40,16,,
,,,,,,180,16,,
,,,,,,180,25,,
,,,,,,180,22,,
,,,,,,210,16,,
,,,,,,250,20,,
,,,,,,260,18,,
,,,,,,60,16,,
,,,,,,50,18,,
,,,,,,50,20,,
,,,,,,50,22,,
,,,,,,60,18,,
,,,,,,50,18,,
,,,,,,50,20,,
,,,,,,50,22,,
,,,,,,60,22,,
,,,,,,50,16,,
,,,,,,60,16,,
,,,,,,70,16,,
,,,,,,200,16,,
,,,,,,270,16,,
,,,,,,50,16,,
,,,,,,60,18,,
,,,,,,70,18,,
,,,,,,70,16,,
,,,,,,200,16,,
,,,,,,290,16,,
,,,,,,280,18,,
,,,,,,300,16,,
,,,,,,290,16,,
,,,,,,50,18,,
,,,,,,40,18,,
,,,,,,50,16,,
,,,,,,40,18,,
,,,,,,360,16,,
,,,,,,50,16,,
,,,,,,50,16,,
,,,,,,40,18,,
,,,,,,40,16,,
,,,,,,60,18,,
,,,,,,50,16,,
,,,,,,60,16,,
,,,,,,50,16,,
,,,,,,50,16,,
,,,,,,60,16,,
,,,,,,50,18,,
,,,,,,40,18,,
,,,,,,60,16,,
,,,,,,50,16,,
,,,,,,190,22,,
,,,,,,190,16,,
,,,,,,50,16,,
,,,,,,40,16,,
,,,,,,230,16,,
,,,,,,290,18,,
,,,,,,270,18,,
,,,,,,320,16,,
,,,,,,250,22,,
,,,,,,270,18,,
,,,,,,250,20,,
,,,,,,280,20,,
,,,,,,280,16,,
,,,,,,290,22,,
,,,,,,270,16,,
,,,,,,280,18,,
,,,,,,220,16,,
,,,,,,40,18,,
,,,,,,10,16,,
,,,,,,350,18,,
,,,,,,190,18,,
,,,,,,290,18,,
,,,,,,40,16,,
,,,,,,270,18,,
,,,,,,210,18,,
,,,,,,200,22,,
,,,,,,50,16,,
,,,,,,30,20,,
,,,,,,50,16,,
,,,,,,40,20,,
,,,,,,60,18,,
,,,,,,50,16,,
,,,,,,50,16,,
,,,,,,60,20,,
,,,,,,60,18,,
,,,,,,60,16,,
,,,,,,280,16,,
,,,,,,290,16,,
,,,,,,60,16,,
,,,,,,280,18,,
,,,,,,290,16,,
,,,,,,220,16,,
,,,,,,270,16,,
,,,,,,270,16,,
,,,,,,50,16,,
,,,,,,180,20,,
,,,,,,170,22,,
,,,,,,60,16,,
,,,,,,50,16,,
,,,,,,40,16,,
,,,,,,50,16,,
,,,,,,40,18,,
,,,,,,40,18,,
,,,,,,60,16,,
,,,,,,180,16,,
,,,,,,190,20,,
,,,,,,230,20,,
,,,,,,270,16,,
,,,,,,270,20,,
